financial_year,mine,mine_type,saleable_production_tonnes
FY2024,Curragh - Opencut,Open Cut,10175948
FY2025,Curragh - Opencut,Open Cut,9470603
FY2010,Curragh - Underground,Underground,0
FY2011,Curragh - Underground,Underground,0
FY2012,Curragh - Underground,Underground,0
FY2013,Curragh - Underground,Underground,0
FY2014,Curragh - Underground,Underground,0
FY2015,Curragh - Underground,Underground,0
FY2016,Curragh - Underground,Underground,0
FY2017,Curragh - Underground,Underground,0
FY2018,Curragh - Underground,Underground,0
FY2019,Curragh - Underground,Underground,0
FY2020,Curragh - Underground,Underground,0
FY2021,Curragh - Underground,Underground,0
FY2022,Curragh - Underground,Underground,0
FY2023,Curragh - Underground,Underground,0
FY2024,Curragh - Underground,Underground,0
FY2025,Curragh - Underground,Underground,0
FY2010,Daunia,Open Cut,0
FY2011,Daunia,Open Cut,0
FY2012,Daunia,Open Cut,0
FY2013,Daunia,Open Cut,961242
FY2014,Daunia,Open Cut,4394164
FY2015,Daunia,Open Cut,4755875
FY2016,Daunia,Open Cut,5303660
FY2017,Daunia,Open Cut,5220589
FY2018,Daunia,Open Cut,5137051
FY2019,Daunia,Open Cut,4468838
FY2020,Daunia,Open Cut,4389753
FY2021,Daunia,Open Cut,3875881
FY2022,Daunia,Open Cut,2969795
FY2023,Daunia,Open Cut,3979323
FY2024,Daunia,Open Cut,4058886
FY2025,Daunia,Open Cut,4560154
FY2010,Dawson North And Central Mine,Open Cut,0
FY2011,Dawson North And Central Mine,Open Cut,0
FY2012,Dawson North And Central Mine,Open Cut,0
FY2013,Dawson North And Central Mine,Open Cut,8550723
FY2014,Dawson North And Central Mine,Open Cut,8392076
FY2015,Dawson North And Central Mine,Open Cut,8148072
FY2016,Dawson North And Central Mine,Open Cut,8676608
FY2017,Dawson North And Central Mine,Open Cut,9015214
FY2018,Dawson North And Central Mine,Open Cut,6274256
FY2019,Dawson North And Central Mine,Open Cut,7134655
FY2020,Dawson North And Central Mine,Open Cut,7989383
FY2021,Dawson North And Central Mine,Open Cut,7034708
FY2022,Dawson North And Central Mine,Open Cut,4524556
FY2023,Dawson North And Central Mine,Open Cut,6982256
FY2024,Dawson North And Central Mine,Open Cut,6351641
FY2025,Dawson North And Central Mine,Open Cut,7376654
FY2010,Dawson South,Open Cut,0
FY2011,Dawson South,Open Cut,0
FY2012,Dawson South,Open Cut,0
FY2013,Dawson South,Open Cut,0
FY2014,Dawson South,Open Cut,0
FY2015,Dawson South,Open Cut,0
FY2016,Dawson South,Open Cut,0
FY2017,Dawson South,Open Cut,0
FY2018,Dawson South,Open Cut,0
FY2019,Dawson South,Open Cut,0
FY2020,Dawson South,Open Cut,0
FY2021,Dawson South,Open Cut,0
FY2022,Dawson South,Open Cut,0
FY2023,Dawson South,Open Cut,0
FY2024,Dawson South,Open Cut,0
FY2025,Dawson South,Open Cut,0
FY2010,Ensham Mine - Open Cut,Open Cut,7538704
FY2011,Ensham Mine - Open Cut,Open Cut,4660259
FY2012,Ensham Mine - Open Cut,Open Cut,4399000
FY2013,Ensham Mine - Open Cut,Open Cut,4437631
FY2014,Ensham Mine - Open Cut,Open Cut,4881729
FY2015,Ensham Mine - Open Cut,Open Cut,3733425
FY2016,Ensham Mine - Open Cut,Open Cut,4916295
FY2017,Ensham Mine - Open Cut,Open Cut,4978408
FY2018,Ensham Mine - Open Cut,Open Cut,5362827
FY2019,Ensham Mine - Open Cut,Open Cut,5272832
FY2020,Ensham Mine - Open Cut,Open Cut,5011684
FY2021,Ensham Mine - Open Cut,Open Cut,4114577
FY2022,Ensham Mine - Open Cut,Open Cut,3907181
FY2023,Ensham Mine - Open Cut,Open Cut,2934736
FY2024,Ensham Mine - Open Cut,Open Cut,3410057
FY2025,Ensham Mine - Open Cut,Open Cut,3757986
FY2010,Ensham Mine - Underground,Underground,0
FY2011,Ensham Mine - Underground,Underground,0
FY2012,Ensham Mine - Underground,Underground,0
FY2013,Ensham Mine - Underground,Underground,0
FY2014,Ensham Mine - Underground,Underground,0
FY2015,Ensham Mine - Underground,Underground,0
FY2016,Ensham Mine - Underground,Underground,0
FY2017,Ensham Mine - Underground,Underground,0
FY2018,Ensham Mine - Underground,Underground,0
FY2019,Ensham Mine - Underground,Underground,0
